filename,reason
t_000001.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000003.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000005.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000007.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000011.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000013.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000015.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000019.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000021.jpg,"flagged dark (mean luminance <25/255); black frame or near-black transition, no legible content"
t_000023.jpg,"wide establishing shot of the living room (table, grandfather clock); background shelving far too small/blurred to read"
s_000025_52.jpg,"camera operator's viewfinder / crew equipment in shot, no shelf"
t_000027.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
s_000026_52.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
t_000029.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
s_000029_36.jpg,"close-up of a notebook sketch/drawing, no shelf"
s_000031_36.jpg,wide shot of Eco with a table book-stack in soft focus in the foreground; spines unreadable and no distinct shelf resolved
s_000033_68.jpg,wide shot of Eco with a table book-stack in soft focus in the foreground; spines unreadable and no distinct shelf resolved
t_000039.jpg,"close-up of hand writing on paper, no shelf"
s_000039_92.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
t_000043.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
s_000042_72.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
t_000045.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
t_000047.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
t_000049.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
t_000053.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
t_000057.jpg,"talking-head interview shot; any background shelving/glass cabinet is decorative, far out of focus, and not legible"
