filename,reason
t_000001.jpg,"black/leader frame, opening credits"
t_000003.jpg,"black/leader frame, opening credits"
t_000005.jpg,"black/leader frame, opening credits"
t_000007.jpg,"black/leader frame, opening credits"
t_000011.jpg,"black/leader frame, opening credits"
t_000013.jpg,"black section title-card (Ricordare/Dimenticare/Rivoluzione/Dio/Biblioteca bumpers, or end credits), no shelves"
t_000015.jpg,"black section title-card (Ricordare/Dimenticare/Rivoluzione/Dio/Biblioteca bumpers, or end credits), no shelves"
t_000019.jpg,"black section title-card (Ricordare/Dimenticare/Rivoluzione/Dio/Biblioteca bumpers, or end credits), no shelves"
t_000021.jpg,"black section title-card (Ricordare/Dimenticare/Rivoluzione/Dio/Biblioteca bumpers, or end credits), no shelves"
t_000023.jpg,"wide living-room establishing shot; background shelving present but tiny/out of focus, not resolvable"
t_000025.jpg,"talking-head interview coverage, no shelves visible"
s_000025_44.jpg,"camera-crew shot: cameraman's LCD viewfinder screen, no shelves"
t_000027.jpg,"talking-head close-up; glass display cabinet visible but out of focus, no legible shelf"
s_000026_44.jpg,"talking-head close-up; glass display cabinet visible but out of focus, no legible shelf"
t_000029.jpg,"talking-head close-up; glass display cabinet visible but out of focus, no legible shelf"
s_000029_28.jpg,"close-up of sketch/notebook page, no shelf"
s_000031_28.jpg,"wide living-room shot, Eco seated among book piles but too distant/soft to read spines"
t_000035.jpg,"talking-head interview coverage, no shelves visible"
t_000037.jpg,"talking-head interview coverage, no shelves visible"
t_000039.jpg,"talking-head interview coverage, no shelves visible"
s_000039_84.jpg,close-up of sketched notebook with a stacked-book edge in frame; spines not legible
t_000043.jpg,"talking-head interview coverage, no shelves visible"
t_000049.jpg,"talking-head interview coverage, no shelves visible"
t_000051.jpg,"talking-head interview coverage, no shelves visible"
s_000050_64.jpg,"wide shot, book piles on table in foreground but out of focus, spines not legible"
t_000053.jpg,"talking-head interview coverage, no shelves visible"
t_000055.jpg,"talking-head interview coverage, no shelves visible"
t_000057.jpg,"talking-head interview coverage, no shelves visible"
t_000059.jpg,"talking-head interview coverage, no shelves visible"
s_000058_20.jpg,"wide shot, book piles on table in foreground but out of focus, spines not legible"
t_000101.jpg,"talking-head interview coverage, no shelves visible"
t_000115.jpg,"archival/found-footage insert (silent film 'Dante's Hell' 1911, 'Interplanetary Revolution' USSR 1924, or 2015 Mosul-museum destruction news footage); not Eco's apartment, no shelves"
t_000117.jpg,"archival/found-footage insert (silent film 'Dante's Hell' 1911, 'Interplanetary Revolution' USSR 1924, or 2015 Mosul-museum destruction news footage); not Eco's apartment, no shelves"
t_000119.jpg,"archival/found-footage insert (silent film 'Dante's Hell' 1911, 'Interplanetary Revolution' USSR 1924, or 2015 Mosul-museum destruction news footage); not Eco's apartment, no shelves"
