filename,reason
t_005000.jpg,"archival sketch material (Eco's own Name of the Rose maze/character drawings), not a shelf"
t_005002.jpg,"archival sketch material (Eco's own Name of the Rose maze/character drawings), not a shelf"
t_005006.jpg,"archival sketch material (Eco's own Name of the Rose maze/character drawings), not a shelf"
t_005008.jpg,"archival sketch material (Eco's own Name of the Rose maze/character drawings), not a shelf"
t_005010.jpg,"archival sketch material (Eco's own Name of the Rose maze/character drawings), not a shelf"
t_005012.jpg,"archival sketch material (Eco's own Name of the Rose maze/character drawings), not a shelf"
s_005015_96.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005018.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005022.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
s_005023_21.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
s_005025_50.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005028.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005032.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
s_005035_29.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005036.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005038.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005040.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005042.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005044.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005046.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005048.jpg,"different location - St. Gallen Abbey library stock footage (identified by ST. GALLUS inscription/Baroque towers), not Eco's apartment"
t_005050.jpg,Eco apartment living room wide shot; bookshelf visible far right but too small/out of focus to read
s_005053_67.jpg,"close-up of framed artwork (burned book pages), not a shelf"
t_005056.jpg,"motion blur, camera settling; precedes clearer shelf shot at t_005058.jpg"
t_005102.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
s_005103_92.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
t_005104.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
t_005106.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
t_005108.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
t_005110.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
t_005112.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
t_005114.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
s_005115_04.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
s_005117_96.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
t_005122.jpg,"extreme close-up on decorative mirror/glass vitrine, shallow depth of field, background shelf out of focus"
s_005133_62.jpg,"archival festival-stage footage (talking head), no shelf visible"
t_005134.jpg,"archival festival-stage footage (talking head), no shelf visible"
t_005138.jpg,"archival engraving/illustration (Robert Fludd cosmology diagrams), not a shelf"
t_005142.jpg,"archival engraving/illustration (Robert Fludd cosmology diagrams), not a shelf"
t_005144.jpg,"archival engraving/illustration (Robert Fludd cosmology diagrams), not a shelf"
