filename,reason
t_003116.jpg,"talking head interview (gold damask wallpaper), no books"
s_003117_58.jpg,"archival title card ""La breccia a Porta Pia / All'assalto!"", no books"
t_003118.jpg,"archival title card ""La breccia a Porta Pia / All'assalto!"", no books"
s_003119_21.jpg,"archival reenactment footage, Bersaglieri storming Porta Pia breach, no books"
t_003120.jpg,"archival reenactment footage, Bersaglieri storming breach, no books"
t_003124.jpg,"archival reenactment footage, soldiers advancing along wall, no books"
t_003126.jpg,"archival reenactment footage, soldiers advancing along wall, no books"
t_003128.jpg,"TV interview talking head (blue backdrop), no books"
s_003128_17.jpg,"TV interview talking head (blue backdrop), no books"
t_003132.jpg,"TV interview talking head (blue backdrop), no books"
t_003134.jpg,"TV interview talking head (blue backdrop), no books"
t_003138.jpg,"TV interview talking head (blue backdrop), no books"
s_003143_21.jpg,"reading-room scene, shelves visible far background but out of focus/too distant, no legible spines"
s_003157_75.jpg,"archival TV interview ""Hora Clave 9 - Umberto Eco"", no books"
t_003206.jpg,"archival TV interview ""Hora Clave 9 - Umberto Eco"", no books"
t_003208.jpg,"archival TV interview ""Hora Clave 9 - Umberto Eco"", no books"
s_003209_33.jpg,"convex mirror reflecting distant bookshelves, too distorted/blurred to read spines"
t_003212.jpg,"convex mirror reflecting distant bookshelves, too distorted/blurred to read spines"
s_003223_08.jpg,"silhouetted figure near window/balcony, narrator vignette, no books"
t_003224.jpg,"silhouetted figure near window/balcony, narrator vignette, no books"
s_003249_62.jpg,"grandmother reading picture book ""La Talpa"" to granddaughter on sofa, foreground book stack out of focus, no legible spines"
t_003254.jpg,"grandmother/granddaughter reading scene, same as above, no legible spines"
t_003256.jpg,"grandmother/granddaughter reading scene, same as above, no legible spines"
t_003258.jpg,"children's picture book content page (""La Talpa""), no spine/cover title"
s_003258_17.jpg,"children's picture book content page (""La Talpa""), no spine/cover title"
t_003302.jpg,"grandmother/granddaughter reading scene wide shot, foreground book stack out of focus, no legible spines"
s_003303_62.jpg,"chapter title card ""capitolo secondo"" on aged paper texture, no books"
t_003308.jpg,"Eco interview close-up (red chair), no books"
t_003312.jpg,"Eco interview close-up (red chair), no books"
s_003312_12.jpg,"Eco interview close-up (red chair), no books"
t_003314.jpg,"Eco interview close-up (red chair), no books"
t_003322.jpg,"Eco interview close-up (red chair), no books"
t_003332.jpg,"Eco interview close-up (red chair), no books"
t_003334.jpg,"Eco interview close-up (red chair), no books"
t_003338.jpg,"university lecture hall panel scene, Eco at table with microphones and audience, no legible books"
s_003341_54.jpg,"university lecture hall panel scene, same as above, no legible books"
t_003346.jpg,"university lecture hall panel scene, same as above, no legible books"
t_003348.jpg,"archival illustration close-up, warrior figures with rifle/bayonet (Sandokan-style adventure illustration), no spine/title"
s_003349_29.jpg,"archival illustration close-up, turbaned warrior raising arms (same illustration), no spine/title"
t_003352.jpg,"archival illustration close-up, same illustration, no spine/title"
s_003353_29.jpg,"archival illustration close-up (steamboat on jungle river, Salgari-style adventure engraving), no spine/title"
t_003354.jpg,"archival illustration close-up (17th-c. duel/swordfight engraving), no spine/title"
t_003356.jpg,"comic/pulp illustration close-up (colorful superhero-style figure), no spine/title"
t_003358.jpg,"university lecture hall panel scene, no legible books"
s_003402_33.jpg,"university lecture hall panel scene, no legible books"
t_003404.jpg,"Eco at lecture-hall panel table, close-up, no legible books"
s_003410_04.jpg,"printed book page with Fascist-era ""Duce"" poem and photo illustration, content page, no title/spine legible"
s_003421_83.jpg,"Eco at lecture-hall panel table, close-up, no legible books"
t_003424.jpg,"antique leather-bound book spines, entirely out of focus (soft artistic blur), no legible titles"
s_003429_00.jpg,"comic-book page close-up (superhero panels), editorial insert, no spine/title"
t_003442.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
t_003444.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
t_003446.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
s_003451_67.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
t_003452.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
t_003454.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
t_003456.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
t_003458.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
t_003502.jpg,"small metal fantasy/demon figurines on shelf, book spines in background fully out of focus, no legible titles"
t_003504.jpg,"Eco interview close-up (dark background), no books"
t_003506.jpg,"Eco interview close-up (dark background), no books"
t_003508.jpg,"Eco interview close-up (dark background), no books"
t_003512.jpg,"Eco interview close-up (dark background), no books"
t_003514.jpg,"Eco interview close-up (dark background), no books"
s_003523_58.jpg,"framed ink-and-watercolor caricature portrait of a bearded man (artwork on wall), no books"
t_003524.jpg,"same framed caricature portrait, no books"
s_003525_62.jpg,"surreal Magritte-style painted portrait (man with pipe holding globe, editorial illustration), no books"
t_003526.jpg,"surreal Magritte-style painted portrait, same as above, no books"
t_003528.jpg,"surreal Magritte-style painted portrait, same as above, no books"
s_003530_00.jpg,"hand-drawn caricature sketch sheet (""Micky to uso"" / Mickey Mouse wordplay cartoons), no books"
