filename,reason
t_000001.jpg,"exterior building shot, ribbon/plaque unveiling, no books visible"
t_000003.jpg,"exterior, plaque reveal, no books visible"
t_000005.jpg,"person close-up (crowd), no books visible"
s_000005_80.jpg,"person close-up (crowd), no books visible"
t_000007.jpg,"person close-up, no books visible"
t_000009.jpg,"person close-up, no books visible"
t_000011.jpg,"person close-up (ribbon cutting), no books visible"
t_000013.jpg,"person close-up (ribbon cutting), no books visible"
t_000015.jpg,"close-up of entrance plaque, no books visible"
s_000016_44.jpg,"close-up of entrance plaque, no books visible"
t_000017.jpg,"exterior entrance, people walking in, no books visible"
t_000019.jpg,"exterior entrance, no books visible"
t_000021.jpg,"exterior building shot, no books visible"
t_000023.jpg,"exterior building shot, no books visible"
t_000031.jpg,"interior staircase/chair, person entering doorway, no shelf in frame"
t_000055.jpg,"interior shelving corridor, camera motion too blurred for any legible text"
t_000057.jpg,"same corridor, door threshold, no legible spines"
s_000057_80.jpg,"close-up of an open illuminated-manuscript facsimile (Genesis) in a display case, not a shelved spine"
t_000059.jpg,"manuscript display case close-up, same as s_000057_80"
t_000101.jpg,"manuscript display case close-up, same as s_000057_80"
t_000103.jpg,"manuscript display case close-up (Genesis text), same as s_000057_80"
s_000103_52.jpg,"manuscript display case close-up (Genesis text), same as s_000057_80"
t_000105.jpg,"manuscript display case close-up (Genesis text), same as s_000057_80"
t_000107.jpg,"manuscript display case close-up (Genesis text), same as s_000057_80"
t_000109.jpg,"manuscript display case close-up (Genesis text), same as s_000057_80"
t_000117.jpg,"interview subject (Giovanni Molari) fills frame, shelf behind mostly occluded/duplicate of t_000115"
t_000129.jpg,"exterior, second ribbon-cutting ceremony, no books visible"
t_000131.jpg,"exterior, second ribbon-cutting ceremony, no books visible"
s_000132_20.jpg,"exterior, second ribbon-cutting ceremony, no books visible"
t_000141.jpg,"exterior, second ribbon-cutting ceremony, no books visible"
s_000141_08.jpg,"exterior, second ribbon-cutting ceremony, no books visible"
